表層形,左文脈ID,右文脈ID,コスト,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
はてブ,,,1000,名詞,固有名詞,一般,*,*,*,はてなブックマーク,ハテブ,ハテブ
はてなブックマーク,,,2000,名詞,固有名詞,一般,*,*,*,はてなブックマーク,ハテナブックマーク,ハテナブックマーク
ホッテントリ,,,2000,名詞,固有名詞,一般,*,*,*,ホットエントリー,ホッテントリ,ホッテントリ
はてな,,,2000,名詞,固有名詞,組織,*,*,*,はてな,ハテナ,ハテナ
牛丼,,,4000,名詞,一般,*,*,*,*,牛丼,ギュウドン,ギュウドン
心拍数,,,4000,名詞,一般,*,*,*,*,心拍数,シンパクスウ,シンパクスウ
健康診断,,,4000,名詞,一般,*,*,*,*,健康診断,ケンコウシンダン,ケンコウシンダン
関連記事,,,3000,名詞,一般,*,*,*,*,関連記事,カンレンキジ,カンレンキジ
情報量,,,3000,名詞,一般,*,*,*,*,情報量,ジョウホウリョウ,ジョウホウリョウ
投稿画面,,,4000,名詞,一般,*,*,*,*,投稿画面,トウコウガメン,トウコウガメン
検索結果,,,4000,名詞,一般,*,*,*,*,検索結果,ケンサクケッカ,ケンサクケッカ
コーヒーミル,,,4000,名詞,一般,*,*,*,*,コーヒーミル,コーヒーミル,コーヒーミル
ふりかえり,,,3000,名詞,サ変接続,*,*,*,*,ふりかえり,フリカエリ,フリカエリ
ふり返り,,,3000,名詞,サ変接続,*,*,*,*,ふりかえり,フリカエリ,フリカエリ
振り返り,,,3000,名詞,サ変接続,*,*,*,*,ふりかえり,フリカエリ,フリカエリ
ブックマーク,,,3000,名詞,サ変接続,*,*,*,*,ブックマーク,ブックマーク,ブックマーク
低温調理,,,3000,名詞,サ変接続,*,*,*,*,低温調理,テイオンチョウリ,テイオンチョウリ
山と道,,,2000,名詞,固有名詞,組織,*,*,*,山と道,ヤマトミチ,ヤマトミチ
ARC'TERYX,,,2000,名詞,固有名詞,組織,*,*,*,ARC'TERYX,アークテリクス,アークテリクス
三苫,,,8668,名詞,固有名詞,地域,一般,*,*,三苫,ミトマ,ミトマ
博多駅,,,5000,名詞,固有名詞,地域,一般,*,*,博多駅,ハカタエキ,ハカタエキ
鐘撞山,,,8538,名詞,固有名詞,一般,*,*,*,鐘撞山,カネツキヤマ,カネツキヤマ
高地山,,,8538,名詞,固有名詞,一般,*,*,*,高地山,タカチヤマ,タカチヤマ
二丈岳,,,8538,名詞,固有名詞,一般,*,*,*,二丈岳,ニジョウダケ,ニジョウダケ
低俗広告,,,8538,名詞,固有名詞,一般,*,*,*,低俗広告,テイゾクコウコク,テイゾクコウコク
糸島四座縦走,,,5000,名詞,固有名詞,一般,*,*,*,糸島四座縦走,イトシマヨンザジュウソウ,イトシマヨンザジュウソウ
